problem_id,score
0,97.70904929999999
1,100.0
2,100.0
3,99.6525
4,86.556
5,71.00000000000001
6,80.7
7,91.20000000000002
8,87.3373
9,100.0
10,95.80400000000002
11,30.0
13,99.313
14,96.083
15,100.0
16,98.32499999999999
17,96.59199999999998
22,0.0
23,100.0
24,99.88
25,83.959
26,100.0
27,59.3
28,100.0
30,99.93
33,100.0
35,93.794
36,34.375
40,74.78000000000003
41,97.41900000000001
42,42.762
43,28.64
44,10.97
45,54.01001333333332
46,18.7394
47,100.0
48,34.2735
50,69.96250000000002
52,100.0
53,51.239999999999995
54,54.918
57,99.14000000000001
58,86.2531
59,83.24931
60,99.51173000000001
61,0.0
62,97.73849999999999
63,78.51269624573374
64,0.0
68,59.90400000000001
69,100.0
70,79.74272727272727
72,100.0
73,80.28799999999997
75,89.81779999999999
77,90.0
79,0.0
80,99.5251
81,0.0
82,90.0
83,100.0
85,99.47
86,100.0
87,100.0
89,97.755
93,100.0
101,99.97749999999999
104,75.101
106,90.22240000000001
107,84.1
108,77.458
109,100.0
110,100.0
111,100.0
112,100.0
113,100.0
117,100.0
119,100.0
120,100.0
121,99.97190476190477
122,100.0
123,90.0
124,98.902
125,80.0
127,100.0
132,93.32999999999998
133,77.63799999999999
134,99.49699999999999
135,37.14999999999999
137,67.27
138,0.0
140,100.0
141,100.0
142,100.0
143,89.0
144,99.075
145,58.035714289999994
147,95.15480000000002
148,97.70470000000002
149,91.75426666666667
150,65.35039999999998
151,98.3109
152,98.16459999999998
153,94.99039999999998
154,82.34952666666666
155,97.34310000000002
156,27.7112
157,14.472266666666664
158,64.90399999999998
159,14.277199999999995
160,82.6328
161,96.79146666666664
162,95.89593333333335
163,83.3265333333333
164,21.00746666666667
165,97.37886666666664
166,62.95373333333335
167,93.00626666666662
168,60.26326666666666
169,70.43539999999999
170,97.02186666666665
171,63.497333333333316
174,80.76413666666667
175,99.1316
176,98.90561333333332
177,99.70926000000001
178,92.81159000000001
179,100.0
180,100.0
181,50.53075500000001
182,97.60600000000001
183,100.0
184,99.93299999999999
185,99.93299999999999
186,101.16900000000003
187,101.16900000000003
188,92.20333333333332
189,98.25
192,87.4833633333333
193,93.79389333333333
203,74.479
205,23.808
207,69.34666666666666
209,0.0
210,10.98672125
211,87.37700000000001
212,100.0
213,0.0
214,100.0
217,20.0
220,100.0
222,42.64
225,99.81000000000006
227,2.447999999999999
228,100.0
229,42.994285714285716
231,0.0
233,100.0
239,100.0
241,40.0
243,96.29629629629629
245,88.61800000000001
247,45.0
248,100.0
249,100.0
252,99.80399999999999
253,100.0
254,51.6
255,53.618
256,44.75900000000001
257,76.235
258,99.226
263,33.24957099066
301,70.50350922
302,42.594515667210004
303,49.8538961375
304,81.71819998590001
305,74.0190799875
306,45.39607
307,54.90070035
308,31.870720000000002
309,31.821096336
310,65.00005887
311,91.3427
312,80.84558999999999
313,60.15818197
314,38.87931
315,87.31887092000001
