problem_id,score
0,77.92850703714286
1,100.0
2,54.535
3,20.0
4,48.568
5,65.00000000000001
6,100.0
7,93.2
8,81.3824
9,100.0
10,94.248
11,30.0
13,99.39
14,95.938
15,99.78
16,97.828
17,96.59199999999998
22,0.0
23,100.0
24,99.868
25,82.32600000000001
26,50.0
27,58.19
28,86.41
30,70.78999999999999
33,100.0
35,89.90799999999999
36,100.0
40,59.420000000000016
41,93.92200000000001
42,1.0000000000000002
43,0.89
44,78.3725
45,56.22074000000001
46,8.092806666666668
47,95.11815999999999
48,42.20342666666667
50,69.86250000000001
52,100.0
53,0.0
54,52.772000000000006
57,22.54666666666666
58,69.2815
59,83.26723000000001
60,99.42384000000001
61,0.0
62,96.609
63,27.979317406143338
64,0.0
68,48.05500000000001
69,0.0
70,87.46
72,100.0
73,80.08010000000003
75,89.77019999999999
77,90.0
79,100.0
80,11.982500000000003
81,0.0
82,86.87100000000001
83,100.0
85,99.91000000000001
86,100.0
87,100.0
89,98.736
93,100.0
101,6.25
104,75.101
106,90.78160000000001
107,71.89999999999999
108,0.0
109,100.0
110,100.0
111,100.0
112,100.0
113,0.0
117,90.6366
119,28.999999999999996
120,100.0
121,66.0657142857143
122,59.10000000000001
123,81.666
124,0.0
125,71.099
127,100.0
132,0.0
133,77.651
134,99.603
135,0.0
137,58.79
138,0.0
140,100.0
141,100.0
142,100.0
143,61.0
144,92.96300000000001
145,0.0
147,91.61739999999998
148,9.738400000000004
149,36.91146666666668
150,56.130599999999994
151,0.0
152,87.4722
153,0.0
154,0.6104266666666667
155,69.78199999999998
156,1.0436
157,0.0
158,79.68969999999999
159,0.0
160,33.290000000000006
161,1.3333333333333335
162,61.989533333333355
163,0.0
164,0.0
165,75.94266666666668
166,0.0
167,53.65879999999999
168,91.33300000000001
169,0.30306666666666665
170,54.90453333333334
171,0.0
174,81.07333666666666
175,98.96642333333332
176,98.83034
177,99.64040666666668
178,92.81159000000001
179,100.0
180,100.0
181,50.58152500000001
182,99.923
183,100.0
184,100.0
185,100.0
186,101.16900000000003
187,101.16900000000003
188,95.58888888888889
189,99.80444444444446
192,87.54968000000001
193,93.76731333333333
203,74.385
205,0.0
207,0.0
209,0.0
210,18.40602109
211,53.71699999999999
212,100.0
213,0.0
214,84.44666666666666
217,0.0
220,75.0
222,15.559999999999999
225,0.0
227,2.446599999999999
228,100.0
229,42.93
231,0.0
233,100.0
239,84.23399999999998
241,66.8905
243,85.18518518518519
245,87.195
247,0.0
248,0.0
249,77.14000000000001
252,0.0
253,100.0
254,52.62999999999999
255,49.781000000000006
256,44.75900000000001
257,100.0
258,85.59
263,13.953404507689998
301,61.05471198
302,40.24310085333
303,49.8536348
304,80.62417381446002
305,8.3945732
306,35.7653
307,54.99742772999999
308,30.30482
309,47.683220352
310,65.00003329
311,90.90083
312,82.55254000000001
313,60.14519797
314,41.8954
315,78.46150494999999
